Aasta;Kategooria;Lavastuse liik / žanr;Lavastused;..uuslavastused;Etendused;..külalisetendused;Vaatajad, tuhat;Teatriskäigud 1000 elaniku kohta;Keskmine piletihind, eurot
;Riigi- ja linnateatrid;..ooper;16;3;93;5;37,50;28;11,04
;Riigi- ja linnateatrid;..operett;6;3;72;4;36,90;27,50;14,49
;Riigi- ja linnateatrid;..sõnalavastus lastele;34;16;459;72;111,80;83,40;5,17
;Riigi- ja linnateatrid;..tantsulavastus lastele;5;2;40;1;21;15,70;7,03
;Riigi- ja linnateatrid;..tragikomöödia;7;3;55;8;15,30;11,40;8,28
;Riigi- ja linnateatrid;Kokku;279;103;3 247;416;753,80;562,50;8,28
;Riigi- ja linnateatrid;Lastelavastus;62;24;846;141;204,50;152,60;5,73
;Riigi- ja linnateatrid;Muu lavastus;3;2;6;4;1,30;0,90;9,57
;Riigi- ja linnateatrid;Muusikalavastus;30;8;294;19;146,20;109,10;12,37
;Riigi- ja linnateatrid;Sõnalavastus;173;65;2 014;247;371,60;277,30;8,64
;Riigi- ja linnateatrid;Tantsulavastus;11;4;87;5;30,20;22,60;8,41
;Teatrid kokku;..draama;157;67;1 765;237;241,20;180;8,80
;Teatrid kokku;..klassikaline tants;10;3;76;5;29,30;21,80;8,57
;Teatrid kokku;..komöödia;63;22;780;247;175,60;131;8,33
;Teatrid kokku;..muu lastelavastus;6;3;147;125;13,40;10;2,02
;Teatrid kokku;..muu muusikalavastus;9;2;51;8;18,60;13,90;11,02
;Teatrid kokku;..muu sõnalavastus;13;7;117;38;13,90;10,40;7,94
;Teatrid kokku;..muu tantsulavastus;1;0;2;2;0,30;0,20;0
;Teatrid kokku;..muusikal;7;3;112;9;66,90;49,90;12,28
;Teatrid kokku;..muusikalavastus lastele;5;3;103;23;41,40;30,90;8,35
;Teatrid kokku;..nukulavastus lastele;23;4;405;208;42;31,30;2,70
;Teatrid kokku;..nüüdistants;30;20;134;62;17,20;12,80;4,76
;Teatrid kokku;..ooper;16;3;93;5;37,50;28;11,04
;Teatrid kokku;..operett;6;3;72;4;36,90;27,50;14,49
;Teatrid kokku;..sõnalavastus lastele;42;20;554;144;122,10;91,10;5,04
;Teatrid kokku;..tantsulavastus lastele;8;4;67;7;22;16,40;6,93
;Teatrid kokku;..tragikomöödia;10;3;68;18;16,90;12,60;8,28
;Teatrid kokku;Kokku;417;173;4 593;1 158;899,90;671,50;8,06
;Teatrid kokku;Lastelavastus;84;34;1 276;507;240,90;179,70;5,25
;Teatrid kokku;Muu lavastus;11;6;47;16;4,70;3,50;7,61
;Teatrid kokku;Muusikalavastus;38;11;328;26;160;119,40;12,45
;Teatrid kokku;Sõnalavastus;243;99;2 730;540;447,60;334;8,56
;Teatrid kokku;Tantsulavastus;41;23;212;69;46,80;34,90;8,17
2011;Muud teatrid;..draama;76;30;716;198;71,50;53,40;8,59
;Muud teatrid;..klassikaline tants;1;1;3;0;0,30;0,20;22,09
;Muud teatrid;..komöödia;20;9;311;264;50,40;37,60;9,12
;Muud teatrid;..muu muusikalavastus;4;2;14;6;2,30;1,70;11,67
;Muud teatrid;..muu sõnalavastus;2;0;11;1;0,20;0,10;8,22
;Muud teatrid;..muu tantsulavastus;1;1;4;0;0,40;0,30;0
;Muud teatrid;..muusika- ja liikumislavastus;0;0;0;0;0;0;0
;Muud teatrid;..muusikal;4;3;38;2;5,90;4,40;17,18
;Muud teatrid;..nuku- ja objektiteatri lavastus;0;0;0;0;0;0;0
;Muud teatrid;..nukulavastus;7;2;152;132;12,60;9,40;1,96
;Muud teatrid;..nüüdistants;34;17;189;85;15,60;11,60;3,82
;Muud teatrid;..objektiteatri lavastus;3;2;25;0;0,70;0,50;0
;Muud teatrid;..ooper;2;2;4;0;1;0,70;9,78
;Muud teatrid;..operett;0;0;0;0;0;0;0
;Muud teatrid;..sõna-, muusika- ja liikumislavastus;4;2;79;55;9,20;6,90;15,26
;Muud teatrid;..tragikomöödia;2;2;28;14;2,40;1,80;6,86
;Muud teatrid;Kokku;163;75;1 595;759;174,50;130,20;8,71
;Muud teatrid;Mitmeliigilavastus;4;2;79;55;9,20;6,90;15,26
;Muud teatrid;Muu lavastus;3;2;21;2;2;1,50;12,42
;Muud teatrid;Muusikalavastus;10;7;56;8;9,20;6,90;14,34
;Muud teatrid;Nuku- ja objektiteatri lavastus;10;4;177;132;13,30;9,90;1,96
;Muud teatrid;Sõnalavastus;100;41;1 066;477;124,50;92,90;8,79
;Muud teatrid;Tantsulavastus;36;19;196;85;16,30;12,20;4,72
;Riigi- ja linnateatrid;..draama;143;57;1 694;245;340,80;254,30;8,34
;Riigi- ja linnateatrid;..klassikaline tants;16;5;109;8;54,50;40,60;9,16
;Riigi- ja linnateatrid;..komöödia;51;13;620;96;168,20;125,50;8,44
;Riigi- ja linnateatrid;..muu muusikalavastus;5;3;21;2;4,60;3,40;6,83
;Riigi- ja linnateatrid;..muu sõnalavastus;2;0;13;0;0,80;0,60;6,96
;Riigi- ja linnateatrid;..muu tantsulavastus;0;0;0;0;0;0;0
;Riigi- ja linnateatrid;..muusika- ja liikumislavastus;1;1;10;0;0,40;0,30;7,44
;Riigi- ja linnateatrid;..muusikal;12;4;177;15;83,50;62,30;8,42
;Riigi- ja linnateatrid;..nuku- ja objektiteatri lavastus;4;3;80;6;6,70;5;4,57
;Riigi- ja linnateatrid;..nukulavastus;19;5;284;72;31,50;23,50;4,56
;Riigi- ja linnateatrid;..nüüdistants;6;6;66;10;23,30;17,40;7,18
;Riigi- ja linnateatrid;..objektiteatri lavastus;0;0;0;0;0;0;0
;Riigi- ja linnateatrid;..ooper;20;7;121;13;48,90;36,50;12,71
;Riigi- ja linnateatrid;..operett;5;1;59;4;36,20;27;13,91
;Riigi- ja linnateatrid;..sõna-, muusika- ja liikumislavastus;4;4;29;6;4,70;3,50;7,07
;Riigi- ja linnateatrid;..tragikomöödia;13;6;134;27;29,90;22,30;7,50
;Riigi- ja linnateatrid;Kokku;301;115;3 417;504;833,80;622,30;8,78
;Riigi- ja linnateatrid;Mitmeliigilavastus;5;5;39;6;5,10;3,80;7,11
;Riigi- ja linnateatrid;Muu lavastus;0;0;0;0;0;0;0
;Riigi- ja linnateatrid;Muusikalavastus;42;15;378;34;173,10;129,20;11,43
;Riigi- ja linnateatrid;Nuku- ja objektiteatri lavastus;23;8;364;78;38,20;28,50;4,56
;Riigi- ja linnateatrid;Sõnalavastus;209;76;2 461;368;539,60;402,70;8,32
;Riigi- ja linnateatrid;Tantsulavastus;22;11;175;18;77,80;58,10;9,05
;Teatrid kokku;..draama;219;87;2 410;443;412,30;307,70;8,37
;Teatrid kokku;..klassikaline tants;17;6;112;8;54,70;40,80;9,20
;Teatrid kokku;..komöödia;71;22;931;360;218,60;163,10;8,58
;Teatrid kokku;..muu muusikalavastus;9;5;35;8;6,90;5,10;8,74
;Teatrid kokku;..muu sõnalavastus;4;0;24;1;1;0,70;7,11
;Teatrid kokku;..muu tantsulavastus;1;1;4;0;0,40;0,30;0
;Teatrid kokku;..muusika- ja liikumislavastus;1;1;10;0;0,40;0,30;7,44
;Teatrid kokku;..muusikal;16;7;215;17;89,30;66,70;9,15
;Teatrid kokku;..nuku- ja objektiteatri lavastus;4;3;80;6;6,70;5;4,57
;Teatrid kokku;..nukulavastus;26;7;436;204;44,10;32,90;3,58
;Teatrid kokku;..nüüdistants;40;23;255;95;38,90;29,10;5,47
;Teatrid kokku;..objektiteatri lavastus;3;2;25;0;0,70;0,50;0
;Teatrid kokku;..ooper;22;9;125;13;49,90;37,20;12,68
;Teatrid kokku;..operett;5;1;59;4;36,20;27;13,91
;Teatrid kokku;..sõna-, muusika- ja liikumislavastus;8;6;108;61;13,90;10,40;11,67
;Teatrid kokku;..tragikomöödia;15;8;162;41;32,30;24,10;7,46
;Teatrid kokku;Kokku;464;190;5 012;1 263;1 008,30;752,50;8,77
;Teatrid kokku;Mitmeliigilavastus;9;7;118;61;14,40;10,70;11,48
;Teatrid kokku;Muu lavastus;3;2;21;2;2;1,50;12,42
;Teatrid kokku;Muusikalavastus;52;22;434;42;182,30;136;11,59
;Teatrid kokku;Nuku- ja objektiteatri lavastus;33;12;541;210;51,50;38,40;3,75
;Teatrid kokku;Sõnalavastus;309;117;3 527;845;664,10;495,60;8,40
;Teatrid kokku;Tantsulavastus;58;30;371;103;94,10;70,20;8,82
2012;Muud teatrid;..draama;67;27;760;..;72,90;164,90;..
;Muud teatrid;..klassikaline tants;0;0;0;..;0;3;..
;Muud teatrid;..komöödia;27;12;377;..;70,10;115,40;..
;Muud teatrid;..muu muusikalavastus;3;0;19;..;3,90;0;..
;Muud teatrid;..muu sõnalavastus;2;1;18;..;0,70;54,30;..
;Muud teatrid;..muu tantsulavastus;3;2;9;..;1;0;..
;Muud teatrid;..muusika- ja liikumislavastus;..;..;..;..;0,80;15,80;..
;Muud teatrid;..muusikal;1;0;3;..;1,10;0;..
;Muud teatrid;..nuku- ja objektiteatri lavastus;..;..;..;..;0,60;12;..
